SMTSD	data	variable	value
Adrenal Gland	male_med	PLCXD1	4.001
Artery - Aorta	male_med	PLCXD1	5.68
Artery - Coronary	male_med	PLCXD1	6.02
Artery - Tibial	male_med	PLCXD1	3.6555
Bladder	male_med	PLCXD1	7.0755
Brain - Amygdala	male_med	PLCXD1	6.122
Brain - Anterior cingulate cortex (BA24)	male_med	PLCXD1	8.826
Brain - Caudate (basal ganglia)	male_med	PLCXD1	8.548
Brain - Cerebellar Hemisphere	male_med	PLCXD1	37.52
Brain - Cerebellum	male_med	PLCXD1	37.555
Brain - Cortex	male_med	PLCXD1	13.74
Brain - Frontal Cortex (BA9)	male_med	PLCXD1	12.87
Brain - Hippocampus	male_med	PLCXD1	8.59
Brain - Hypothalamus	male_med	PLCXD1	6.755
Brain - Nucleus accumbens (basal ganglia)	male_med	PLCXD1	7.7405
Brain - Putamen (basal ganglia)	male_med	PLCXD1	7.473
Brain - Spinal cord (cervical c-1)	male_med	PLCXD1	8.224
Brain - Substantia nigra	male_med	PLCXD1	4.932
Breast - Mammary Tissue	male_med	PLCXD1	14.04
Cells - Cultured fibroblasts	male_med	PLCXD1	9.849
Cells - EBV-transformed lymphocytes	male_med	PLCXD1	30.585
Colon - Sigmoid	male_med	PLCXD1	8.8045
Colon - Transverse	male_med	PLCXD1	8.247
Esophagus - Gastroesophageal Junction	male_med	PLCXD1	6.512
Esophagus - Mucosa	male_med	PLCXD1	13.73
Esophagus - Muscularis	male_med	PLCXD1	5.7325
Heart - Atrial Appendage	male_med	PLCXD1	3.39
Heart - Left Ventricle	male_med	PLCXD1	1.535
Kidney - Cortex	male_med	PLCXD1	3.9695
Kidney - Medulla	male_med	PLCXD1	8.852
Liver	male_med	PLCXD1	6.637
Lung	male_med	PLCXD1	11.58
Minor Salivary Gland	male_med	PLCXD1	7.812
Muscle - Skeletal	male_med	PLCXD1	1.586
Nerve - Tibial	male_med	PLCXD1	9.672
Pancreas	male_med	PLCXD1	4.021
Pituitary	male_med	PLCXD1	9.923
Skin - Not Sun Exposed (Suprapubic)	male_med	PLCXD1	15.95
Skin - Sun Exposed (Lower leg)	male_med	PLCXD1	20.66
Small Intestine - Terminal Ileum	male_med	PLCXD1	11.1
Spleen	male_med	PLCXD1	20.685
Stomach	male_med	PLCXD1	14.04
Thyroid	male_med	PLCXD1	13.655
Whole Blood	male_med	PLCXD1	3.644
Adipose - Subcutaneous	female_med	PLCXD1	10.59
Adipose - Visceral (Omentum)	female_med	PLCXD1	15.38
Adrenal Gland	female_med	PLCXD1	2.938
Artery - Aorta	female_med	PLCXD1	3.991
Artery - Coronary	female_med	PLCXD1	3.8735
Artery - Tibial	female_med	PLCXD1	2.559
Bladder	female_med	PLCXD1	5.271
Brain - Amygdala	female_med	PLCXD1	4.089
Brain - Anterior cingulate cortex (BA24)	female_med	PLCXD1	5.0535
Brain - Caudate (basal ganglia)	female_med	PLCXD1	4.682
Brain - Cerebellar Hemisphere	female_med	PLCXD1	20.065
Brain - Cerebellum	female_med	PLCXD1	24.16
Brain - Cortex	female_med	PLCXD1	7.654
Brain - Frontal Cortex (BA9)	female_med	PLCXD1	7.354
Brain - Hippocampus	female_med	PLCXD1	4.821
Brain - Hypothalamus	female_med	PLCXD1	3.88
Brain - Nucleus accumbens (basal ganglia)	female_med	PLCXD1	4.4845
Brain - Putamen (basal ganglia)	female_med	PLCXD1	5.023
Brain - Spinal cord (cervical c-1)	female_med	PLCXD1	6.592
Brain - Substantia nigra	female_med	PLCXD1	3.323
Breast - Mammary Tissue	female_med	PLCXD1	11.105
Cells - Cultured fibroblasts	female_med	PLCXD1	9.711
Cells - EBV-transformed lymphocytes	female_med	PLCXD1	30.79
Colon - Sigmoid	female_med	PLCXD1	5.529
Colon - Transverse	female_med	PLCXD1	7.197
Esophagus - Gastroesophageal Junction	female_med	PLCXD1	4.576
Esophagus - Mucosa	female_med	PLCXD1	13.115
Esophagus - Muscularis	female_med	PLCXD1	4.449
Heart - Atrial Appendage	female_med	PLCXD1	2.6285
Heart - Left Ventricle	female_med	PLCXD1	1.3765
Kidney - Cortex	female_med	PLCXD1	2.272
Kidney - Medulla	female_med	PLCXD1	1.566
Liver	female_med	PLCXD1	5.76
Lung	female_med	PLCXD1	10.21
Minor Salivary Gland	female_med	PLCXD1	6.978
Muscle - Skeletal	female_med	PLCXD1	1.2465
Nerve - Tibial	female_med	PLCXD1	7.7745
Pancreas	female_med	PLCXD1	3.456
Pituitary	female_med	PLCXD1	7.638
Skin - Not Sun Exposed (Suprapubic)	female_med	PLCXD1	16.67
Skin - Sun Exposed (Lower leg)	female_med	PLCXD1	21.245
Small Intestine - Terminal Ileum	female_med	PLCXD1	11.1
Spleen	female_med	PLCXD1	16.38
Stomach	female_med	PLCXD1	11.535
Thyroid	female_med	PLCXD1	10.35
Whole Blood	female_med	PLCXD1	3.207
Adipose - Subcutaneous	med_diff_adj	GTPBP6	-0.0590246419816798
Adipose - Visceral (Omentum)	med_diff_adj	GTPBP6	-0.0524081291759466
Adrenal Gland	med_diff_adj	GTPBP6	0.0042908762420957
Artery - Aorta	med_diff_adj	GTPBP6	-0.0530274059910771
Artery - Coronary	med_diff_adj	GTPBP6	-0.117696460707858
Artery - Tibial	med_diff_adj	GTPBP6	-0.0794828685720912
Bladder	med_diff_adj	GTPBP6	-0.0468847158313642
Brain - Amygdala	med_diff_adj	GTPBP6	-0.180734856007944
Brain - Anterior cingulate cortex (BA24)	med_diff_adj	GTPBP6	-0.296544715447155
Brain - Caudate (basal ganglia)	med_diff_adj	GTPBP6	-0.309447004608295
Brain - Cerebellar Hemisphere	med_diff_adj	GTPBP6	-0.326728738503463
Brain - Cerebellum	med_diff_adj	GTPBP6	-0.320002093911951
Brain - Cortex	med_diff_adj	GTPBP6	-0.280353200883002
Brain - Frontal Cortex (BA9)	med_diff_adj	GTPBP6	-0.301501766784452
Brain - Hippocampus	med_diff_adj	GTPBP6	-0.240936911487759
Brain - Hypothalamus	med_diff_adj	GTPBP6	-0.183479349186483
Brain - Nucleus accumbens (basal ganglia)	med_diff_adj	GTPBP6	-0.282214547809195
Brain - Putamen (basal ganglia)	med_diff_adj	GTPBP6	-0.234451019066404
Brain - Spinal cord (cervical c-1)	med_diff_adj	GTPBP6	-0.190786614515428
Brain - Substantia nigra	med_diff_adj	GTPBP6	-0.208815562669293
Breast - Mammary Tissue	med_diff_adj	GTPBP6	-0.102702359807156
Cells - Cultured fibroblasts	med_diff_adj	GTPBP6	0.0290043883708173
Cells - EBV-transformed lymphocytes	med_diff_adj	GTPBP6	-0.00877482351388787
Colon - Sigmoid	med_diff_adj	GTPBP6	-0.113234529381175
Colon - Transverse	med_diff_adj	GTPBP6	-0.108943343218355
Esophagus - Gastroesophageal Junction	med_diff_adj	GTPBP6	-0.0886996519144703
Esophagus - Mucosa	med_diff_adj	GTPBP6	-0.0470109198593374
Esophagus - Muscularis	med_diff_adj	GTPBP6	-0.0908476865923676
Heart - Atrial Appendage	med_diff_adj	GTPBP6	-0.029431290108431
Heart - Left Ventricle	med_diff_adj	GTPBP6	0.0825268817204299
Kidney - Cortex	med_diff_adj	GTPBP6	0.204319339966028
Kidney - Medulla	med_diff_adj	GTPBP6	0.297173414820473
Liver	med_diff_adj	GTPBP6	0.0537091199149163
Lung	med_diff_adj	GTPBP6	-0.0462620281273131
Minor Salivary Gland	med_diff_adj	GTPBP6	-0.0325852395338801
Muscle - Skeletal	med_diff_adj	GTPBP6	-0.0780051150895141
Nerve - Tibial	med_diff_adj	GTPBP6	-0.0706806282722513
Pancreas	med_diff_adj	GTPBP6	-0.099056603773585
Pituitary	med_diff_adj	GTPBP6	-0.123423339250677
Skin - Not Sun Exposed (Suprapubic)	med_diff_adj	GTPBP6	0.0142053445850915
Skin - Sun Exposed (Lower leg)	med_diff_adj	GTPBP6	0.0214461672221418
Small Intestine - Terminal Ileum	med_diff_adj	GTPBP6	-0.0766716196136703
Spleen	med_diff_adj	GTPBP6	-0.136559347085663
Stomach	med_diff_adj	GTPBP6	-0.0715955126207543
Thyroid	med_diff_adj	GTPBP6	-0.141494112870483
Whole Blood	med_diff_adj	GTPBP6	-0.0835453774385072
Adipose - Subcutaneous	male_med	GTPBP6	77.51
Adipose - Visceral (Omentum)	male_med	GTPBP6	71.84
Adrenal Gland	male_med	GTPBP6	44.28
Artery - Aorta	male_med	GTPBP6	78.45
Artery - Coronary	male_med	GTPBP6	83.35
Artery - Tibial	male_med	GTPBP6	86.245
Bladder	male_med	GTPBP6	80.41
Brain - Amygdala	male_med	GTPBP6	40.28
Brain - Anterior cingulate cortex (BA24)	male_med	GTPBP6	49.2
Brain - Caudate (basal ganglia)	male_med	GTPBP6	43.4
Brain - Cerebellar Hemisphere	male_med	GTPBP6	88.07
Brain - Cerebellum	male_med	GTPBP6	95.515
Brain - Cortex	male_med	GTPBP6	58.89
Brain - Frontal Cortex (BA9)	male_med	GTPBP6	56.6
Brain - Hippocampus	male_med	GTPBP6	42.48
Brain - Hypothalamus	male_med	GTPBP6	39.95
Brain - Nucleus accumbens (basal ganglia)	male_med	GTPBP6	46.33
Brain - Putamen (basal ganglia)	male_med	GTPBP6	38.025
Brain - Spinal cord (cervical c-1)	male_med	GTPBP6	57.525
Brain - Substantia nigra	male_med	GTPBP6	40.61
Breast - Mammary Tissue	male_med	GTPBP6	78.82
Cells - Cultured fibroblasts	male_med	GTPBP6	72.92
Cells - EBV-transformed lymphocytes	male_med	GTPBP6	75.785
Colon - Sigmoid	male_med	GTPBP6	76.92
Colon - Transverse	male_med	GTPBP6	64.07
Esophagus - Gastroesophageal Junction	male_med	GTPBP6	80.44
Esophagus - Mucosa	male_med	GTPBP6	54.03
Esophagus - Muscularis	male_med	GTPBP6	74.025
Heart - Atrial Appendage	male_med	GTPBP6	45.19
Heart - Left Ventricle	male_med	GTPBP6	37.2
Kidney - Cortex	male_med	GTPBP6	41.21
Kidney - Medulla	male_med	GTPBP6	39.27
Liver	male_med	GTPBP6	37.61
Lung	male_med	GTPBP6	81.06
Minor Salivary Gland	male_med	GTPBP6	46.34
Muscle - Skeletal	male_med	GTPBP6	62.56
Nerve - Tibial	male_med	GTPBP6	114.6
Pancreas	male_med	GTPBP6	40.28
Pituitary	male_med	GTPBP6	53.515
Skin - Not Sun Exposed (Suprapubic)	male_med	GTPBP6	71.1
Skin - Sun Exposed (Lower leg)	male_med	GTPBP6	69.01
Small Intestine - Terminal Ileum	male_med	GTPBP6	67.3
Spleen	male_med	GTPBP6	77.805
Stomach	male_med	GTPBP6	64.18
Thyroid	male_med	GTPBP6	98.52
Whole Blood	male_med	GTPBP6	23.58
Adipose - Subcutaneous	female_med	GTPBP6	72.935
Adipose - Visceral (Omentum)	female_med	GTPBP6	68.075
Adrenal Gland	female_med	GTPBP6	44.47
Artery - Aorta	female_med	GTPBP6	74.29
Artery - Coronary	female_med	GTPBP6	73.54
Artery - Tibial	female_med	GTPBP6	79.39
Bladder	female_med	GTPBP6	76.64
Brain - Amygdala	female_med	GTPBP6	33
Brain - Anterior cingulate cortex (BA24)	female_med	GTPBP6	34.61
Brain - Caudate (basal ganglia)	female_med	GTPBP6	29.97
Brain - Cerebellar Hemisphere	female_med	GTPBP6	59.295
Brain - Cerebellum	female_med	GTPBP6	64.95
Brain - Cortex	female_med	GTPBP6	42.38
Brain - Frontal Cortex (BA9)	female_med	GTPBP6	39.535
Brain - Hippocampus	female_med	GTPBP6	32.245
Brain - Hypothalamus	female_med	GTPBP6	32.62
Brain - Nucleus accumbens (basal ganglia)	female_med	GTPBP6	33.255
Brain - Putamen (basal ganglia)	female_med	GTPBP6	29.11
Brain - Spinal cord (cervical c-1)	female_med	GTPBP6	46.55
Brain - Substantia nigra	female_med	GTPBP6	32.13
Breast - Mammary Tissue	female_med	GTPBP6	70.725
Cells - Cultured fibroblasts	female_med	GTPBP6	75.035
Cells - EBV-transformed lymphocytes	female_med	GTPBP6	75.12
Colon - Sigmoid	female_med	GTPBP6	68.21
Colon - Transverse	female_med	GTPBP6	57.09
Esophagus - Gastroesophageal Junction	female_med	GTPBP6	73.305
Esophagus - Mucosa	female_med	GTPBP6	51.49
Esophagus - Muscularis	female_med	GTPBP6	67.3
Heart - Atrial Appendage	female_med	GTPBP6	43.86
Heart - Left Ventricle	female_med	GTPBP6	40.27
Kidney - Cortex	female_med	GTPBP6	49.63
Kidney - Medulla	female_med	GTPBP6	50.94
Liver	female_med	GTPBP6	39.63
Lung	female_med	GTPBP6	77.31
Minor Salivary Gland	female_med	GTPBP6	44.83
Muscle - Skeletal	female_med	GTPBP6	57.68
Nerve - Tibial	female_med	GTPBP6	106.5
Pancreas	female_med	GTPBP6	36.29
Pituitary	female_med	GTPBP6	46.91
Skin - Not Sun Exposed (Suprapubic)	female_med	GTPBP6	72.11
Skin - Sun Exposed (Lower leg)	female_med	GTPBP6	70.49
Small Intestine - Terminal Ileum	female_med	GTPBP6	62.14
Spleen	female_med	GTPBP6	67.18
Stomach	female_med	GTPBP6	59.585
Thyroid	female_med	GTPBP6	84.58
Whole Blood	female_med	GTPBP6	21.61
Adipose - Subcutaneous	med_diff_adj	PPP2R3B	-0.199243061396131
Adipose - Visceral (Omentum)	med_diff_adj	PPP2R3B	-0.236423841059603
Adrenal Gland	med_diff_adj	PPP2R3B	-0.0752889721961886
Artery - Aorta	med_diff_adj	PPP2R3B	-0.0799873203719357
Artery - Coronary	med_diff_adj	PPP2R3B	-0.191465677179963
Artery - Tibial	med_diff_adj	PPP2R3B	-0.20375234521576
Bladder	med_diff_adj	PPP2R3B	-0.294803548795944
Brain - Amygdala	med_diff_adj	PPP2R3B	-0.273302752293578
Brain - Anterior cingulate cortex (BA24)	med_diff_adj	PPP2R3B	-0.30635871778463
Brain - Caudate (basal ganglia)	med_diff_adj	PPP2R3B	-0.212226209627521
Brain - Cerebellar Hemisphere	med_diff_adj	PPP2R3B	-0.263713080168776
Brain - Cerebellum	med_diff_adj	PPP2R3B	-0.272051368705644
Brain - Cortex	med_diff_adj	PPP2R3B	-0.251190746200953
Brain - Frontal Cortex (BA9)	med_diff_adj	PPP2R3B	-0.241857284932869
Brain - Hippocampus	med_diff_adj	PPP2R3B	-0.252235772357723
Brain - Hypothalamus	med_diff_adj	PPP2R3B	-0.314814814814815
Brain - Nucleus accumbens (basal ganglia)	med_diff_adj	PPP2R3B	-0.216285998013903
Brain - Putamen (basal ganglia)	med_diff_adj	PPP2R3B	-0.199556848081983
Brain - Spinal cord (cervical c-1)	med_diff_adj	PPP2R3B	-0.070266753415745
Brain - Substantia nigra	med_diff_adj	PPP2R3B	-0.282327586206897
Breast - Mammary Tissue	med_diff_adj	PPP2R3B	0.171572750210261
Cells - Cultured fibroblasts	med_diff_adj	PPP2R3B	0.0130180969060128
Cells - EBV-transformed lymphocytes	med_diff_adj	PPP2R3B	-0.0182887001959502
Colon - Sigmoid	med_diff_adj	PPP2R3B	-0.182130926858454
Colon - Transverse	med_diff_adj	PPP2R3B	-0.181679194801886
Esophagus - Gastroesophageal Junction	med_diff_adj	PPP2R3B	-0.222393109812365
Esophagus - Mucosa	med_diff_adj	PPP2R3B	-0.113731343283582
Esophagus - Muscularis	med_diff_adj	PPP2R3B	-0.272045251562965
Heart - Atrial Appendage	med_diff_adj	PPP2R3B	-0.101449275362319
Heart - Left Ventricle	med_diff_adj	PPP2R3B	-0.0206851971557853
Kidney - Cortex	med_diff_adj	PPP2R3B	0.110375884569433
Kidney - Medulla	med_diff_adj	PPP2R3B	-0.159548422198041
Liver	med_diff_adj	PPP2R3B	0.0452199557630868
Lung	med_diff_adj	PPP2R3B	-0.0817941952506596
Minor Salivary Gland	med_diff_adj	PPP2R3B	0.0410830999066293
Muscle - Skeletal	med_diff_adj	PPP2R3B	-0.173559822747415
Nerve - Tibial	med_diff_adj	PPP2R3B	-0.270438041695947
Pancreas	med_diff_adj	PPP2R3B	-0.096272581751658
Pituitary	med_diff_adj	PPP2R3B	-0.184838558727188
Skin - Not Sun Exposed (Suprapubic)	med_diff_adj	PPP2R3B	-0.0343406593406593
Skin - Sun Exposed (Lower leg)	med_diff_adj	PPP2R3B	-0.106716110424392
Small Intestine - Terminal Ileum	med_diff_adj	PPP2R3B	-0.138826951042172
Spleen	med_diff_adj	PPP2R3B	-0.181600383325348
Stomach	med_diff_adj	PPP2R3B	-0.0904821979254276
Thyroid	med_diff_adj	PPP2R3B	-0.193128290385148
Whole Blood	med_diff_adj	PPP2R3B	0.106490115628497
Adipose - Subcutaneous	male_med	PPP2R3B	11.89
Adipose - Visceral (Omentum)	male_med	PPP2R3B	9.06
Adrenal Gland	male_med	PPP2R3B	9.603
Artery - Aorta	male_med	PPP2R3B	9.464
Artery - Coronary	male_med	PPP2R3B	13.475
Artery - Tibial	male_med	PPP2R3B	13.325
Bladder	male_med	PPP2R3B	19.725
Brain - Amygdala	male_med	PPP2R3B	10.9
Brain - Anterior cingulate cortex (BA24)	male_med	PPP2R3B	8.5945
Brain - Caudate (basal ganglia)	male_med	PPP2R3B	8.081
Brain - Cerebellar Hemisphere	male_med	PPP2R3B	14.22
Brain - Cerebellum	male_med	PPP2R3B	14.795
Brain - Cortex	male_med	PPP2R3B	8.818
Brain - Frontal Cortex (BA9)	male_med	PPP2R3B	8.044
Brain - Hippocampus	male_med	PPP2R3B	9.84
Brain - Hypothalamus	male_med	PPP2R3B	17.28
Brain - Nucleus accumbens (basal ganglia)	male_med	PPP2R3B	10.07
Brain - Putamen (basal ganglia)	male_med	PPP2R3B	7.221
Brain - Spinal cord (cervical c-1)	male_med	PPP2R3B	15.37
Brain - Substantia nigra	male_med	PPP2R3B	10.44
Breast - Mammary Tissue	male_med	PPP2R3B	11.89
Cells - Cultured fibroblasts	male_med	PPP2R3B	8.565
Cells - EBV-transformed lymphocytes	male_med	PPP2R3B	15.31
Colon - Sigmoid	male_med	PPP2R3B	10.0285
Colon - Transverse	male_med	PPP2R3B	7.849
Esophagus - Gastroesophageal Junction	male_med	PPP2R3B	9.753
Esophagus - Mucosa	male_med	PPP2R3B	16.75
Esophagus - Muscularis	male_med	PPP2R3B	8.3975
Heart - Atrial Appendage	male_med	PPP2R3B	50.37
Heart - Left Ventricle	male_med	PPP2R3B	46.41
Kidney - Cortex	male_med	PPP2R3B	5.4405
Kidney - Medulla	male_med	PPP2R3B	7.352
Liver	male_med	PPP2R3B	4.069
Lung	male_med	PPP2R3B	11.37
Minor Salivary Gland	male_med	PPP2R3B	10.71
Muscle - Skeletal	male_med	PPP2R3B	67.7
Nerve - Tibial	male_med	PPP2R3B	42.69
Pancreas	male_med	PPP2R3B	4.373
Pituitary	male_med	PPP2R3B	32.055
Skin - Not Sun Exposed (Suprapubic)	male_med	PPP2R3B	29.12
Skin - Sun Exposed (Lower leg)	male_med	PPP2R3B	24.27
Small Intestine - Terminal Ileum	male_med	PPP2R3B	10.315
Spleen	male_med	PPP2R3B	20.87
Stomach	male_med	PPP2R3B	7.134
Thyroid	male_med	PPP2R3B	18.045
Whole Blood	male_med	PPP2R3B	8.043
Adipose - Subcutaneous	female_med	PPP2R3B	9.521
Adipose - Visceral (Omentum)	female_med	PPP2R3B	6.918
Adrenal Gland	female_med	PPP2R3B	8.88
Artery - Aorta	female_med	PPP2R3B	8.707
Artery - Coronary	female_med	PPP2R3B	10.895
Artery - Tibial	female_med	PPP2R3B	10.61
Bladder	female_med	PPP2R3B	13.91
Brain - Amygdala	female_med	PPP2R3B	7.921
Brain - Anterior cingulate cortex (BA24)	female_med	PPP2R3B	5.9615
Brain - Caudate (basal ganglia)	female_med	PPP2R3B	6.366
Brain - Cerebellar Hemisphere	female_med	PPP2R3B	10.47
Brain - Cerebellum	female_med	PPP2R3B	10.77
Brain - Cortex	female_med	PPP2R3B	6.603
Brain - Frontal Cortex (BA9)	female_med	PPP2R3B	6.0985
Brain - Hippocampus	female_med	PPP2R3B	7.358
Brain - Hypothalamus	female_med	PPP2R3B	11.84
Brain - Nucleus accumbens (basal ganglia)	female_med	PPP2R3B	7.892
Brain - Putamen (basal ganglia)	female_med	PPP2R3B	5.78
Brain - Spinal cord (cervical c-1)	female_med	PPP2R3B	14.29
Brain - Substantia nigra	female_med	PPP2R3B	7.4925
Breast - Mammary Tissue	female_med	PPP2R3B	13.93
Cells - Cultured fibroblasts	female_med	PPP2R3B	8.6765
Cells - EBV-transformed lymphocytes	female_med	PPP2R3B	15.03
Colon - Sigmoid	female_med	PPP2R3B	8.202
Colon - Transverse	female_med	PPP2R3B	6.423
Esophagus - Gastroesophageal Junction	female_med	PPP2R3B	7.584
Esophagus - Mucosa	female_med	PPP2R3B	14.845
Esophagus - Muscularis	female_med	PPP2R3B	6.113
Heart - Atrial Appendage	female_med	PPP2R3B	45.26
Heart - Left Ventricle	female_med	PPP2R3B	45.45
Kidney - Cortex	female_med	PPP2R3B	6.041
Kidney - Medulla	female_med	PPP2R3B	6.179
Liver	female_med	PPP2R3B	4.253
Lung	female_med	PPP2R3B	10.44
Minor Salivary Gland	female_med	PPP2R3B	11.15
Muscle - Skeletal	female_med	PPP2R3B	55.95
Nerve - Tibial	female_med	PPP2R3B	31.145
Pancreas	female_med	PPP2R3B	3.952
Pituitary	female_med	PPP2R3B	26.13
Skin - Not Sun Exposed (Suprapubic)	female_med	PPP2R3B	28.12
Skin - Sun Exposed (Lower leg)	female_med	PPP2R3B	21.68
Small Intestine - Terminal Ileum	female_med	PPP2R3B	8.883
Spleen	female_med	PPP2R3B	17.08
Stomach	female_med	PPP2R3B	6.4885
Thyroid	female_med	PPP2R3B	14.56
Whole Blood	female_med	PPP2R3B	8.8995
Adipose - Subcutaneous	med_diff_adj	SHOX	-0.397420867526377
Adipose - Visceral (Omentum)	med_diff_adj	SHOX	-0.299773139745917
Artery - Aorta	med_diff_adj	SHOX	0.373926619828259
Artery - Coronary	med_diff_adj	SHOX	-0.311576011157601
Artery - Tibial	med_diff_adj	SHOX	-0.335639251857546
Brain - Anterior cingulate cortex (BA24)	med_diff_adj	SHOX	-1
Brain - Cerebellar Hemisphere	med_diff_adj	SHOX	-0.181241504304486
Brain - Cerebellum	med_diff_adj	SHOX	-0.245489837862526
Brain - Cortex	med_diff_adj	SHOX	-0.220720720720721
Brain - Frontal Cortex (BA9)	med_diff_adj	SHOX	-1
Brain - Hypothalamus	med_diff_adj	SHOX	-1
Brain - Spinal cord (cervical c-1)	med_diff_adj	SHOX	-0.465462157100364
Breast - Mammary Tissue	med_diff_adj	SHOX	-0.640106461086637
Cells - Cultured fibroblasts	med_diff_adj	SHOX	-0.436188178528347
Cells - EBV-transformed lymphocytes	med_diff_adj	SHOX	-1
Colon - Sigmoid	med_diff_adj	SHOX	-0.128563546073202
Colon - Transverse	med_diff_adj	SHOX	-0.242161635832522
Esophagus - Gastroesophageal Junction	med_diff_adj	SHOX	-0.0494202898550724
Esophagus - Muscularis	med_diff_adj	SHOX	-0.0391091797935904
Heart - Atrial Appendage	med_diff_adj	SHOX	-0.0121351522842639
Kidney - Medulla	med_diff_adj	SHOX	-1
Lung	med_diff_adj	SHOX	0.0916445623342176
Minor Salivary Gland	med_diff_adj	SHOX	0.0595944268174921
Muscle - Skeletal	med_diff_adj	SHOX	-0.257905138339921
Nerve - Tibial	med_diff_adj	SHOX	-0.370004933399112
Pituitary	med_diff_adj	SHOX	-0.227788461538461
Skin - Not Sun Exposed (Suprapubic)	med_diff_adj	SHOX	-0.0678336980306346
Skin - Sun Exposed (Lower leg)	med_diff_adj	SHOX	-0.118092454835282
Small Intestine - Terminal Ileum	med_diff_adj	SHOX	0.142397101740968
Spleen	med_diff_adj	SHOX	-1
Thyroid	med_diff_adj	SHOX	-0.345444536195981
Adipose - Subcutaneous	male_med	SHOX	1.706
Adipose - Visceral (Omentum)	male_med	SHOX	0.1102
Adrenal Gland	male_med	SHOX	0
Artery - Aorta	male_med	SHOX	0.01281
Artery - Coronary	male_med	SHOX	0.010755
Artery - Tibial	male_med	SHOX	0.3903
Bladder	male_med	SHOX	0
Brain - Amygdala	male_med	SHOX	0
Brain - Anterior cingulate cortex (BA24)	male_med	SHOX	0.0054245
Brain - Caudate (basal ganglia)	male_med	SHOX	0
Brain - Cerebellar Hemisphere	male_med	SHOX	0.02207
Brain - Cerebellum	male_med	SHOX	0.04379
Brain - Cortex	male_med	SHOX	0.0111
