ensembl_gene_id	hgnc_symbol
ENSG00000232119	MCTS1
ENSG00000169057	MECP2
ENSG00000184634	MED12
ENSG00000180182	MED14
ENSG00000101871	MID1
ENSG00000223749	MIR503HG
ENSG00000169446	MMGT1
ENSG00000101928	MOSPD1
ENSG00000130830	MPP1
ENSG00000063601	MTMR1
ENSG00000101825	MXRA5
ENSG00000102030	NAA10
ENSG00000186462	NAP1L2
ENSG00000186310	NAP1L3
ENSG00000146938	NLGN4X
ENSG00000147140	NONO
ENSG00000292192	NSDHL
ENSG00000147383	NSDHL
ENSG00000122824	NUDT10
ENSG00000198088	NUP62CL
ENSG00000147206	NXF3
ENSG00000122126	OCRL
ENSG00000046651	OFD1
ENSG00000079482	OPHN1
ENSG00000036473	OTC
ENSG00000182162	P2RY8
ENSG00000174740	PABPC5
ENSG00000102109	PCSK1N
ENSG00000067992	PDK3
ENSG00000067840	PDZD4
ENSG00000102174	PHEX
ENSG00000156531	PHF6
ENSG00000044446	PHKA2
ENSG00000165195	PIGA
ENSG00000087842	PIR
ENSG00000182378	PLCXD1
ENSG00000198753	PLXNB3
ENSG00000183837	PNMA3
ENSG00000006757	PNPLA4
ENSG00000124429	POF1B
ENSG00000101868	POLA1
ENSG00000167393	PPP2R3B
ENSG00000273850	PPP2R3B
ENSG00000276438	PPP2R3B
ENSG00000183943	PRKX
ENSG00000130032	PRRG3
ENSG00000165186	PTCHD1
ENSG00000155961	RAB39B
ENSG00000102054	RBBP7
ENSG00000102317	RBM3
ENSG00000089682	RBM41
ENSG00000102032	RENBP
ENSG00000169891	REPS2
ENSG00000130988	RGN
ENSG00000158423	RIBC1
ENSG00000156313	RPGR
ENSG00000147403	RPL10
ENSG00000198034	RPS4X
ENSG00000177189	RPS6KA3
ENSG00000122122	SASH3
ENSG00000130066	SAT1
ENSG00000126903	SLC10A3
ENSG00000077713	SLC25A43
ENSG00000269743	SLC25A53
ENSG00000169100	SLC25A6
ENSG00000292209	SLC35A2
ENSG00000102100	SLC35A2
ENSG00000268104	SLC6A14
ENSG00000065923	SLC9A7
ENSG00000185985	SLITRK2
ENSG00000179542	SLITRK4
ENSG00000102038	SMARCA1
ENSG00000072501	SMC1A
ENSG00000184785	SMIM10
ENSG00000102172	SMS
ENSG00000147164	SNX12
ENSG00000187808	SOWAHD
ENSG00000186787	SPIN2B
ENSG00000186767	SPIN4
ENSG00000168939	SPRY3
ENSG00000184343	SRPK3
ENSG00000180879	SSR4
ENSG00000130052	STARD8
ENSG00000101846	STS
ENSG00000147041	SYTL5
ENSG00000147133	TAF1
ENSG00000068354	TBC1D25
ENSG00000133138	TBC1D8B
ENSG00000101849	TBL1X
ENSG00000196507	TCEAL3
ENSG00000133142	TCEAL4
ENSG00000176896	TCEANC
ENSG00000292215	TIMM17B
ENSG00000126768	TIMM17B
ENSG00000102265	TIMP1
ENSG00000007350	TKTL1
ENSG00000196664	TLR7
ENSG00000157600	TMEM164
ENSG00000177854	TMEM187
ENSG00000147027	TMEM47
ENSG00000158427	TMSB15B
ENSG00000205542	TMSB4X
ENSG00000196459	TRAPPC2
ENSG00000188917	TRMT2B
ENSG00000000003	TSPAN6
ENSG00000158526	TSR2
ENSG00000130985	UBA1
ENSG00000102226	USP11
ENSG00000124486	USP9X
ENSG00000155959	VBP1
ENSG00000160131	VMA21
ENSG00000101940	WDR13
ENSG00000047644	WWC3
ENSG00000101966	XIAP
ENSG00000229807	XIST
ENSG00000230797	YY2
ENSG00000214717	ZBED1
ENSG00000177485	ZBTB33
ENSG00000126970	ZC4H2
ENSG00000188706	ZDHHC9
ENSG00000005889	ZFX
ENSG00000292196	ZNF185
ENSG00000147394	ZNF185
ENSG00000063587	ZNF275
ENSG00000173275	ZNF449
ENSG00000147180	ZNF711
ENSG00000186376	ZNF75D
ENSG00000169249	ZRSR2
ENSG00000198455	ZXDB
ENSG00000204620	AC115618.1
ENSG00000157399	ARSE
ENSG00000196741	CXorf24
ENSG00000018610	CXorf56
ENSG00000203950	FAM127B
ENSG00000212747	FAM127C
ENSG00000130054	FAM155B
ENSG00000234493	GS1-421I3.2
ENSG00000130021	HDHD1
ENSG00000011201	KAL1
ENSG00000196972	LINC00087
ENSG00000228906	RP13-216E22.4
ENSG00000102125	TAZ
