Gene	Tissue	mean_ASE
CXorf38	Artery - Aorta	0.078125
TBC1D25	Artery - Aorta	0
SMIM10	Artery - Aorta	0
VBP1	Artery - Aorta	0
AMOT	Artery - Aorta	0
GAB3	Artery - Aorta	0
TMSB4X	Artery - Aorta	0.000632511068943705
MED12	Artery - Aorta	0
GRIPAP1	Artery - Aorta	0
MID1	Artery - Aorta	0
EIF2S3	Artery - Aorta	0.283687943262411
BCORL1	Artery - Aorta	0
MECP2	Artery - Aorta	0.0147058823529412
SLC25A6	Artery - Aorta	0.471461060610417
BGN	Artery - Aorta	0.00848908185540685
ZRSR2	Artery - Aorta	0.177364864864865
PRKX	Artery - Aorta	0.194444444444444
SLC35A2	Artery - Aorta	0.0303030303030303
ZNF75D	Artery - Aorta	0
IL3RA	Artery - Aorta	0.391304347826087
INE1	Artery - Aorta	0.3
PLXNB3	Artery - Aorta	0
SNX12	Artery - Aorta	0.00714285714285715
WDR13	Artery - Aorta	0
BEX2	Artery - Aorta	0
F8	Artery - Aorta	0
PIR	Artery - Aorta	0
DLG3	Artery - Aorta	0.025
EMD	Artery - Aorta	0
ZDHHC9	Artery - Aorta	0.0185185185185185
STEEP1	Artery - Aorta	0.0131578947368421
ASMTL-AS1	Artery - Aorta	0.416666666666667
RBMX	Artery - Aorta	0
DMD	Artery - Aorta	0.02
MORC4	Artery - Aorta	0
SPIN4	Artery - Aorta	0
LRCH2	Artery - Aorta	0
ATP6AP2	Artery - Aorta	0
SPIN2B	Artery - Aorta	0
TBL1X	Artery - Aorta	0.0531914893617021
RPS6KA3	Artery - Aorta	0
SPANXA2-OT1	Artery - Aorta	0
FHL1	Artery - Aorta	0.00831036696982107
RBM3	Artery - Aorta	0.00788258965558053
VMA21	Artery - Aorta	0
RBBP7	Artery - Aorta	0.0909090909090909
STS	Artery - Aorta	0.259259259259259
DOCK11	Artery - Aorta	0
CHRDL1	Artery - Aorta	0
PHF6	Artery - Aorta	0
TAF1	Artery - Aorta	0
HNRNPH2	Artery - Aorta	0
GTPBP6	Artery - Aorta	0.368043585323812
MMGT1	Artery - Aorta	0
APOOL	Artery - Aorta	0
EOLA1-DT	Artery - Aorta	0.037037037037037
COL4A6	Artery - Aorta	0
STARD8	Artery - Aorta	0.00892857142857145
XIAP	Artery - Aorta	0.0072463768115942
PHF8	Artery - Aorta	0.0217391304347826
PHKA2	Artery - Aorta	0
PUDP	Artery - Coronary	0.333333333333333
ZXDB	Artery - Coronary	0.111111111111111
ELF4	Artery - Coronary	0
GABRE	Artery - Coronary	0
NAP1L2	Artery - Coronary	0
NSDHL	Artery - Coronary	0.0142857142857143
FAM3A	Artery - Coronary	0.0135135135135135
TCEANC	Artery - Coronary	0.1125
RPL10	Artery - Coronary	0
TBC1D25	Artery - Coronary	0.025
MTMR1	Artery - Coronary	0
PDK3	Artery - Coronary	0
ACOT9	Artery - Coronary	0
SLC35A2	Artery - Coronary	0
ZFX	Artery - Coronary	0.481481481481481
RAB11FIP1P1	Artery - Coronary	0
IDS	Artery - Coronary	0.020618556701031
SSR4	Artery - Coronary	0.0285714285714285
TRMT2B	Artery - Coronary	0
APOO	Artery - Coronary	0.05
SMC1A	Artery - Coronary	0.118055555555555
OCRL	Artery - Coronary	0.0294117647058823
AKAP17A	Artery - Coronary	0.40740354535975
PIGA	Artery - Coronary	0
DNASE1L1	Artery - Coronary	0
MPP1	Artery - Coronary	0
RBM41	Artery - Coronary	0
RENBP	Artery - Coronary	0
GDI1	Artery - Coronary	0
SMS	Artery - Coronary	0.0625
ASMTL	Artery - Coronary	0.483443708609272
ATP6AP1	Artery - Coronary	0.0574566962399661
FLNA	Artery - Coronary	0.000445831475702185
SLC25A5	Artery - Coronary	0.0151892896291741
ZBED1	Artery - Coronary	0.292307692307692
BGN	Artery - Coronary	0.01221663239527
RBBP7	Artery - Coronary	0.0816326530612245
NONO	Artery - Coronary	0
SNX12	Artery - Coronary	0.05
TMEM164	Artery - Coronary	0
FTX	Artery - Coronary	0.0152073732718894
TMEM187	Artery - Coronary	0.0344827586206896
CCDC22	Artery - Coronary	0
RTL8A	Artery - Coronary	0
TIMM17B	Artery - Coronary	0
SMARCA1	Artery - Coronary	0
MAP7D3	Artery - Coronary	0
VBP1	Artery - Coronary	0
PPP2R3B	Artery - Coronary	0.286290322580645
ARHGAP4	Artery - Coronary	0.0530020703933747
GPC4	Artery - Coronary	0
PIR	Artery - Coronary	0
PRKX	Artery - Coronary	0.165384615384616
RNF113A	Artery - Coronary	0
KLF8	Artery - Coronary	0
PLXNB3	Artery - Coronary	0.050632911392405
GRIPAP1	Artery - Coronary	0
IRAK1	Artery - Coronary	0.0254237288135593
SLC25A43	Artery - Coronary	0.0090909090909091
BCORL1	Artery - Coronary	0.032258064516129
TSR2	Artery - Coronary	0
HCFC1	Artery - Coronary	0.0256410256410257
DLG3	Artery - Coronary	0
ZNF449	Artery - Coronary	0
CXorf38	Artery - Coronary	0.075
TIMP1	Artery - Coronary	0.0245482658903878
SMIM10	Artery - Coronary	0.0135135135135135
PLCXD1	Artery - Coronary	0.15625
TMSB4X	Artery - Coronary	0.000392464678178964
ASMTL-AS1	Artery - Coronary	0.5
GAB3	Artery - Coronary	0
MAOA	Artery - Coronary	0.0233212341197822
EIF2S3	Artery - Coronary	0.193236714975845
MID1	Artery - Coronary	0
USP9X	Artery - Coronary	0.075
USP11	Artery - Coronary	0
GPM6B	Artery - Coronary	0.117647058823529
BEX4	Artery - Coronary	0.0194805194805195
TMEM47	Artery - Coronary	0.0222846441947566
MECP2	Artery - Coronary	0
HUWE1	Artery - Coronary	0
ZNF75D	Artery - Coronary	0
FAM199X	Artery - Coronary	0
PHF6	Artery - Coronary	0
ATP6AP2	Artery - Coronary	0.00578034682080925
ARHGAP6	Artery - Coronary	0
DOCK11	Artery - Coronary	0
ZNF275	Artery - Coronary	0.0227272727272727
CLIC2	Artery - Coronary	0.117647058823529
ZC4H2	Artery - Coronary	0
LDOC1	Artery - Coronary	0.0243362831858407
RPGR	Artery - Coronary	0
TBL1X	Artery - Coronary	0.0434782608695652
STS	Artery - Coronary	0.142857142857143
SPIN4	Artery - Coronary	0
SLC25A6	Artery - Coronary	0.402844034512593
ZRSR2	Artery - Coronary	0.221621621621622
PNPLA4	Artery - Coronary	0.214285714285714
ELK1	Artery - Coronary	0
UBA1	Artery - Coronary	0.0813953488372093
SMIM10L2B	Artery - Coronary	0
MED12	Artery - Coronary	0
LAMP2	Artery - Coronary	0.0238095238095238
XIST	Artery - Coronary	0
TSPAN6	Artery - Coronary	0.0175438596491228
WWC3	Artery - Coronary	0
CHRDL1	Artery - Coronary	0.0194805194805195
CYBB	Artery - Coronary	0.0169491525423729
COL4A6	Artery - Coronary	0
APOOL	Artery - Coronary	0
DDX3X	Artery - Coronary	0.227192982456141
CA5B	Artery - Coronary	0.105263157894737
ZDHHC9	Artery - Coronary	0.05
STARD8	Artery - Coronary	0
STEEP1	Artery - Coronary	0.0208333333333333
TCEAL4	Artery - Coronary	0.0265963756761303
GTPBP6	Artery - Coronary	0.385503986914742
MORC4	Artery - Coronary	0
VMA21	Artery - Coronary	0.00833333333333335
OPHN1	Artery - Coronary	0
RBMX	Artery - Coronary	0
SRPK3	Artery - Coronary	0.076923076923077
SPIN3	Artery - Coronary	0
FHL1	Artery - Coronary	0.0179122156469664
RPS6KA3	Artery - Coronary	0
RPS4X	Artery - Coronary	0.444444444444444
NAP1L3	Artery - Coronary	0.0208333333333333
TAF1	Artery - Coronary	0
EFHC2	Artery - Coronary	0
AMOT	Artery - Coronary	0
PDZD4	Artery - Coronary	0.0555555555555555
NAA10	Artery - Coronary	0.0933283358320838
TAFAZZIN	Artery - Coronary	0.0104166666666667
GYG2	Artery - Coronary	0.234793187347932
RBM3	Artery - Coronary	0.0178571428571428
MBTPS2	Artery - Coronary	0
CD99	Artery - Coronary	0.286276059306088
WDR13	Artery - Coronary	0
ZBTB33	Artery - Coronary	0
PHF8	Artery - Coronary	0
HNRNPH2	Artery - Coronary	0.00680272108843537
F8	Artery - Coronary	0
IL3RA	Artery - Coronary	0.346153846153846
PHKA2	Artery - Coronary	0
EOLA1-DT	Artery - Coronary	0.0217391304347826
LRCH2	Artery - Coronary	0
DMD	Artery - Coronary	0.0454545454545454
XIAP	Artery - Coronary	0
MMGT1	Artery - Coronary	0
PLCXD1	Colon - Transverse	0.384615384615385
MAP7D3	Colon - Transverse	0
PPP2R3B	Colon - Transverse	0.476190476190476
LAMP2	Colon - Transverse	0
TRMT2B	Colon - Transverse	0
ZBTB33	Colon - Transverse	0
EOLA1-DT	Colon - Transverse	0
RTL8A	Colon - Transverse	0
MID1	Colon - Transverse	0
MPP1	Colon - Transverse	0
TSPAN6	Colon - Transverse	0
RBBP7	Colon - Transverse	0.0493827160493827
LINC00106	Colon - Transverse	0.444444444444444
ZNF275	Colon - Transverse	0
SLC35A2	Colon - Transverse	0
RBM41	Colon - Transverse	0
VBP1	Colon - Transverse	0
TMEM187	Colon - Transverse	0
DNASE1L1	Colon - Transverse	0.0232558139534884
ARSL	Colon - Transverse	0.233333333333333
ATP6AP2	Colon - Transverse	0.0253164556962025
WDR13	Colon - Transverse	0
TBC1D25	Colon - Transverse	0
CCDC22	Colon - Transverse	0
GPC4	Colon - Transverse	0
IL3RA	Colon - Transverse	0.5
POLA1	Colon - Transverse	0
FAM199X	Colon - Transverse	0
PHF6	Colon - Transverse	0
PIR	Colon - Transverse	0
CLIC2	Colon - Transverse	0.0666666666666667
MAOA	Colon - Transverse	0
MECP2	Colon - Transverse	0
TMSB4X	Colon - Transverse	0.000698324022346369
POF1B	Colon - Transverse	0.183333333333333
GTPBP6	Colon - Transverse	0.470588235294118
GAB3	Colon - Transverse	0
SMIM10	Colon - Transverse	0
IDS	Colon - Transverse	0
REPS2	Colon - Transverse	0
ELK1	Colon - Transverse	0.032258064516129
IRAK1	Colon - Transverse	0.012987012987013
ASMTL-AS1	Colon - Transverse	0.372881355932203
STEEP1	Colon - Transverse	0
FHL1	Colon - Transverse	0.00921658986175115
UBA1	Colon - Transverse	0.16260162601626
GDI1	Colon - Transverse	0.00952380952380952
ATP6AP1	Colon - Transverse	0.00543478260869565
RPS4X	Colon - Transverse	0.333333333333333
SPIN3	Colon - Transverse	0
PHF8	Colon - Transverse	0
BCORL1	Colon - Transverse	0
RENBP	Colon - Transverse	0
MED12	Colon - Transverse	0
USP11	Colon - Transverse	0.0133333333333333
RPS6KA3	Colon - Transverse	0
NAA10	Colon - Transverse	0
TAFAZZIN	Colon - Transverse	0
PUDP	Colon - Transverse	0.25
ZDHHC9	Colon - Transverse	0
BGN	Colon - Transverse	0
SLC25A5	Colon - Transverse	0.000855431993156544
SLC25A43	Colon - Transverse	0
TCEAL4	Colon - Transverse	0.00598802395209581
DDX3X	Colon - Transverse	0.210526315789474
STS	Colon - Transverse	0.357142857142857
RBMX	Colon - Transverse	0.0202702702702703
TAF1	Colon - Transverse	0
ARHGAP4	Colon - Transverse	0.0116279069767442
OCRL	Colon - Transverse	0
ZC4H2	Colon - Transverse	0
NONO	Colon - Transverse	0
TSR2	Colon - Transverse	0
VMA21	Colon - Transverse	0
XIAP	Colon - Transverse	0.0192307692307692
ZBED1	Colon - Transverse	0.473684210526316
HNRNPH2	Colon - Transverse	0
WWC3	Colon - Transverse	0
TBL1X	Colon - Transverse	0
XPNPEP2	Colon - Transverse	0
SASH3	Colon - Transverse	0.0465116279069767
SNX12	Colon - Transverse	0
TIMP1	Colon - Transverse	0.0568181818181818
ZRSR2	Colon - Transverse	0.257142857142857
SSR4	Colon - Transverse	0
RAB11FIP1P1	Colon - Transverse	0
RPL10	Colon - Transverse	0
PHKA2	Colon - Transverse	0
INE1	Colon - Transverse	0.277777777777778
LDOC1	Colon - Transverse	0
HUWE1	Colon - Transverse	0
TMEM47	Colon - Transverse	0
EIF2S3	Colon - Transverse	0.195488721804511
ELF4	Colon - Transverse	0
FAM3A	Colon - Transverse	0
SPIN4	Colon - Transverse	0
ACOT9	Colon - Transverse	0.0303030303030303
SLC25A6	Colon - Transverse	0.479414455626715
PIGA	Colon - Transverse	0
TIMM17B	Colon - Transverse	0.00900900900900901
SMC1A	Colon - Transverse	0.30188679245283
MXRA5	Colon - Transverse	0
GRIPAP1	Colon - Transverse	0
CHRDL1	Colon - Transverse	0
RBM3	Colon - Transverse	0.00333333333333333
AKAP17A	Colon - Transverse	0.478632478632479
ZFX	Colon - Transverse	0.352941176470588
FTX	Colon - Transverse	0.0303030303030303
ZNF75D	Colon - Transverse	0
APOO	Colon - Transverse	0
ZXDB	Colon - Transverse	0
RNF113A	Colon - Transverse	0
PRKX	Colon - Transverse	0.259259259259259
GYG2	Colon - Transverse	0.375
ASMTL	Colon - Transverse	0.451612903225806
MAGED1	Colon - Transverse	0
FLNA	Colon - Transverse	0.0120724346076459
USP9X	Colon - Transverse	0.1
PDK3	Colon - Transverse	0
PCSK1N	Colon - Transverse	0
PLXNB3	Colon - Transverse	0
TMEM164	Colon - Transverse	0
DLG3	Colon - Transverse	0
NSDHL	Colon - Transverse	0
CXorf38	Colon - Transverse	0.0476190476190476
FAAH2	Colon - Transverse	0
HMGB3	Colon - Transverse	0
BEX4	Colon - Transverse	0
HCFC1	Colon - Transverse	0
MORC4	Colon - Transverse	0
GABRE	Colon - Transverse	0
XIST	Colon - Transverse	0
OFD1	Colon - Transverse	0.15
ATP6AP2	Esophagus - Mucosa	0
IL3RA	Esophagus - Mucosa	0.4375
MAP7D3	Esophagus - Mucosa	0
MID1	Esophagus - Mucosa	0.0285714285714286
OPHN1	Esophagus - Mucosa	0
GPC4	Esophagus - Mucosa	0
PPP2R3B	Esophagus - Mucosa	0.461538461538462
PHF6	Esophagus - Mucosa	0
ZBTB33	Esophagus - Mucosa	0.0416666666666667
XIAP	Esophagus - Mucosa	0
PIR	Esophagus - Mucosa	0
TMSB4X	Esophagus - Mucosa	0.00113186191284663
DNASE1L1	Esophagus - Mucosa	0
SMARCA1	Esophagus - Mucosa	0
PRRG3	Esophagus - Mucosa	0
TRMT2B	Esophagus - Mucosa	0
LAMP2	Esophagus - Mucosa	0
WDR13	Esophagus - Mucosa	0
ZBED1	Esophagus - Mucosa	0.421052631578947
EOLA1-DT	Esophagus - Mucosa	0
PLCXD1	Esophagus - Mucosa	0.441176470588235
BGN	Esophagus - Mucosa	0
RPL10	Esophagus - Mucosa	0
NONO	Esophagus - Mucosa	0
VBP1	Esophagus - Mucosa	0
BCORL1	Esophagus - Mucosa	0
HUWE1	Esophagus - Mucosa	0
IDS	Esophagus - Mucosa	0
MECP2	Esophagus - Mucosa	0
MAOA	Esophagus - Mucosa	0
TSPAN6	Esophagus - Mucosa	0
TBC1D25	Esophagus - Mucosa	0
ATP6AP1	Esophagus - Mucosa	0
CD99	Esophagus - Mucosa	0.4
INE1	Esophagus - Mucosa	0.142857142857143
PRKX	Esophagus - Mucosa	0.4125
COL4A6	Esophagus - Mucosa	0
SMS	Esophagus - Mucosa	0
SLC35A2	Esophagus - Mucosa	0
MED12	Esophagus - Mucosa	0
YIPF6	Esophagus - Mucosa	0
USP11	Esophagus - Mucosa	0
CCDC22	Esophagus - Mucosa	0
POF1B	Esophagus - Mucosa	0
RBBP7	Esophagus - Mucosa	0.0227272727272727
RPS6KA3	Esophagus - Mucosa	0
VMA21	Esophagus - Mucosa	0
MPP1	Esophagus - Mucosa	0
LDOC1	Esophagus - Mucosa	0
RNF113A	Esophagus - Mucosa	0
SLC25A5	Esophagus - Mucosa	0
UBA1	Esophagus - Mucosa	0.154205607476636
APOOL	Esophagus - Mucosa	0
RPS4X	Esophagus - Mucosa	0.117647058823529
TAFAZZIN	Esophagus - Mucosa	0
RENBP	Esophagus - Mucosa	0
GDI1	Esophagus - Mucosa	0
SPIN3	Esophagus - Mucosa	0
TSR2	Esophagus - Mucosa	0
RAB11FIP1P1	Esophagus - Mucosa	0
SMC1A	Esophagus - Mucosa	0.194029850746269
TMEM187	Esophagus - Mucosa	0
GPM6B	Esophagus - Mucosa	0.125
SLC25A43	Esophagus - Mucosa	0
ELK1	Esophagus - Mucosa	0
CLIC2	Esophagus - Mucosa	0
ASMTL-AS1	Esophagus - Mucosa	0.233333333333333
DDX3X	Esophagus - Mucosa	0.166666666666667
IRAK1	Esophagus - Mucosa	0
TBL1X	Esophagus - Mucosa	0
GTPBP6	Esophagus - Mucosa	0.421686746987952
WWC3	Esophagus - Mucosa	0
FHL1	Esophagus - Mucosa	0.179411764705882
ZRSR2	Esophagus - Mucosa	0.379310344827586
NAP1L2	Esophagus - Mucosa	0
SLC25A6	Esophagus - Mucosa	0.445462878093492
PHF8	Esophagus - Mucosa	0
HNRNPH2	Esophagus - Mucosa	0
SSR4	Esophagus - Mucosa	0
RBM3	Esophagus - Mucosa	0
NAA10	Esophagus - Mucosa	0
PHKA2	Esophagus - Mucosa	0
FAM3A	Esophagus - Mucosa	0
USP9X	Esophagus - Mucosa	0.0588235294117647
ARHGAP4	Esophagus - Mucosa	0
KLF8	Esophagus - Mucosa	0
ZDHHC9	Esophagus - Mucosa	0
HCFC1	Esophagus - Mucosa	0.037037037037037
RBMX	Esophagus - Mucosa	0
SPIN4	Esophagus - Mucosa	0
RTL8A	Esophagus - Mucosa	0
TIMP1	Esophagus - Mucosa	0.00862068965517241
ZFX	Esophagus - Mucosa	0.307692307692308
EIF2S3	Esophagus - Mucosa	0.201438848920863
ZNF185	Esophagus - Mucosa	0
FLNA	Esophagus - Mucosa	0.010590015128593
SASH3	Esophagus - Mucosa	0
PDK3	Esophagus - Mucosa	0
TAF1	Esophagus - Mucosa	0
EGFL6	Esophagus - Mucosa	0
ATRX	Esophagus - Mucosa	0
MORC4	Esophagus - Mucosa	0
ASMTL	Esophagus - Mucosa	0.444444444444444
TCEAL4	Esophagus - Mucosa	0
AMOT	Esophagus - Mucosa	0
STARD8	Esophagus - Mucosa	0
CHRDL1	Esophagus - Mucosa	0
AKAP17A	Esophagus - Mucosa	0.476190476190476
XIST	Esophagus - Mucosa	0
SNX12	Esophagus - Mucosa	0.00952380952380952
GABRE	Esophagus - Mucosa	0
PLXNB3	Esophagus - Mucosa	0.0555555555555556
STEEP1	Esophagus - Mucosa	0.0333333333333333
ELF4	Esophagus - Mucosa	0
BEX4	Esophagus - Mucosa	0
SMIM10	Esophagus - Mucosa	0
TIMM17B	Esophagus - Mucosa	0
APOO	Esophagus - Mucosa	0
PUDP	Esophagus - Mucosa	0.45
OCRL	Esophagus - Mucosa	0
FAAH2	Esophagus - Mucosa	0
GRIPAP1	Esophagus - Mucosa	0
PIGA	Esophagus - Mucosa	0
CXorf38	Esophagus - Mucosa	0
HS6ST2	Esophagus - Mucosa	0
NSDHL	Esophagus - Mucosa	0
DLG3	Esophagus - Mucosa	0
HMGB3	Esophagus - Mucosa	0
TMEM164	Esophagus - Mucosa	0
ZNF449	Esophagus - Mucosa	0
ZNF75D	Esophagus - Mucosa	0
ACOT9	Esophagus - Mucosa	0
OFD1	Esophagus - Mucosa	0
FTX	Esophagus - Mucosa	0.0588235294117647
TRMT2B	Esophagus - Muscularis	0
ACOT9	Esophagus - Muscularis	0
XPNPEP2	Esophagus - Muscularis	0
TIMP1	Esophagus - Muscularis	0.01820029563932
TSR2	Esophagus - Muscularis	0
ELF4	Esophagus - Muscularis	0
GABRE	Esophagus - Muscularis	0
PDK3	Esophagus - Muscularis	0
AKAP17A	Esophagus - Muscularis	0.472972972972973
POLA1	Esophagus - Muscularis	0
RENBP	Esophagus - Muscularis	0
ATP6AP1	Esophagus - Muscularis	0
FLNA	Esophagus - Muscularis	0.00314693778746066
PLXNB3	Esophagus - Muscularis	0.0397459165154265
RPL10	Esophagus - Muscularis	0
ZXDB	Esophagus - Muscularis	0
GPM6B	Esophagus - Muscularis	0.157894736842105
TCEANC	Esophagus - Muscularis	0.153846153846154
MIR6858	Esophagus - Muscularis	0
CLIC2	Esophagus - Muscularis	0
PIGA	Esophagus - Muscularis	0
DLG3	Esophagus - Muscularis	0.00925925925925925
TMEM164	Esophagus - Muscularis	0
BGN	Esophagus - Muscularis	0.0403225806451613
SLC10A3	Esophagus - Muscularis	0
VBP1	Esophagus - Muscularis	0
MAP7D3	Esophagus - Muscularis	0
MCTS1	Esophagus - Muscularis	0
TMEM187	Esophagus - Muscularis	0.0760649087221093
GSPT2	Esophagus - Muscularis	0
OCRL	Esophagus - Muscularis	0.00331125827814569
PUDP	Esophagus - Muscularis	0.2
USP11	Esophagus - Muscularis	0
REPS2	Esophagus - Muscularis	0
SPIN3	Esophagus - Muscularis	0
WWC3	Esophagus - Muscularis	0
GTPBP6	Esophagus - Muscularis	0.403268083207853
GDI1	Esophagus - Muscularis	0
ZC4H2	Esophagus - Muscularis	0
NAP1L2	Esophagus - Muscularis	0
PPP2R3B	Esophagus - Muscularis	0.440092165898617
TBL1X	Esophagus - Muscularis	0.0433375292213631
ZNF275	Esophagus - Muscularis	0
NAA10	Esophagus - Muscularis	0.0536130536130536
SMS	Esophagus - Muscularis	0
NONO	Esophagus - Muscularis	0.00961538461538462
ZNF449	Esophagus - Muscularis	0
EOLA1-DT	Esophagus - Muscularis	0
FTX	Esophagus - Muscularis	0.0253164556962025
TMEM47	Esophagus - Muscularis	0.00980392156862745
PIR	Esophagus - Muscularis	0
HUWE1	Esophagus - Muscularis	0.01
RBBP7	Esophagus - Muscularis	0.0426829268292683
CYBB	Esophagus - Muscularis	0.02
IDS	Esophagus - Muscularis	0.00684931506849315
RBM3	Esophagus - Muscularis	0
SLC25A5	Esophagus - Muscularis	0.00525585619383152
SRPK3	Esophagus - Muscularis	0
SMARCA1	Esophagus - Muscularis	0
GAB3	Esophagus - Muscularis	0
HCFC1	Esophagus - Muscularis	0.0374761987190583
APOO	Esophagus - Muscularis	0
RBMX	Esophagus - Muscularis	0
ATP6AP2	Esophagus - Muscularis	0
TIMM17B	Esophagus - Muscularis	0
FAM3A	Esophagus - Muscularis	0.00495049504950495
SNX12	Esophagus - Muscularis	0
PNPLA4	Esophagus - Muscularis	0.2
ASMTL-AS1	Esophagus - Muscularis	0.347826086956522
OPHN1	Esophagus - Muscularis	0
BEX4	Esophagus - Muscularis	0
ZBTB33	Esophagus - Muscularis	0
LAMP2	Esophagus - Muscularis	0
ZFX	Esophagus - Muscularis	0.483870967741935
TSPAN6	Esophagus - Muscularis	0
LDOC1	Esophagus - Muscularis	0
RNF113A	Esophagus - Muscularis	0
PHKA2	Esophagus - Muscularis	0
LINC00106	Esophagus - Muscularis	0.444444444444444
MAGED1	Esophagus - Muscularis	0
CXorf38	Esophagus - Muscularis	0.11437908496732
SLC35A2	Esophagus - Muscularis	0
RTL8A	Esophagus - Muscularis	0
SMIM10L2B	Esophagus - Muscularis	0
ZNF75D	Esophagus - Muscularis	0
PTCHD1	Esophagus - Muscularis	0
IRAK1	Esophagus - Muscularis	0
RPS6KA3	Esophagus - Muscularis	0
DOCK11	Esophagus - Muscularis	0
RBM41	Esophagus - Muscularis	0
CHRDL1	Esophagus - Muscularis	0.00609756097560975
WDR13	Esophagus - Muscularis	0
BCORL1	Esophagus - Muscularis	0.0294117647058824
ELK1	Esophagus - Muscularis	0
ZDHHC9	Esophagus - Muscularis	0
USP9X	Esophagus - Muscularis	0.0487804878048781
DDX3X	Esophagus - Muscularis	0.251262626262627
NALF2	Esophagus - Muscularis	0
AP1S2	Esophagus - Muscularis	0
ZRSR2	Esophagus - Muscularis	0.209188660801564
KLF8	Esophagus - Muscularis	0.0833333333333333
LINC01560	Esophagus - Muscularis	0
XIST	Esophagus - Muscularis	0
NSDHL	Esophagus - Muscularis	0
ZBED1	Esophagus - Muscularis	0.377250409165303
ANOS1	Esophagus - Muscularis	0
GRIPAP1	Esophagus - Muscularis	0.0167410714285715
NLGN4X	Esophagus - Muscularis	0.428571428571429
HMGB3	Esophagus - Muscularis	0
GYG2	Esophagus - Muscularis	0.0588235294117645
TAFAZZIN	Esophagus - Muscularis	0.0555555555555555
AMOT	Esophagus - Muscularis	0
FAM199X	Esophagus - Muscularis	0
